Medicine Name,Uses,Manufacturer
Aceclo Plus Tablet, Pain relief,Aristo Pharmaceuticals Pvt Ltd
Althrocin 500 Tablet,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Asthalin Syrup,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Axcer  90mg Tablet, Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Arachitol 6L Injection,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,Abbott
Alfoo 10mg Tablet PR,Treatment of Benign prostatic hyperplasia,Dr Reddy's Laboratories Ltd
Azithral 200 Liquid,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Acemiz Plus Tablet, Pain relief,Lupin Ltd
Allegra Suspension Raspberry &amp; Vanilla,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Sanofi India Ltd
Alex Junior Syrup,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Azicip 500 Tablet,Treatment of Bacterial infections,Cipla Ltd
Avil Injection,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Sanofi India Ltd
Aquasol A Capsule,Treatment of Vitamin A deficiency,USV Ltd
Anobliss Cream,Treatment of Anal fissure,Samarth Life Sciences Pvt Ltd
Augmentin DDS Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Almox 500 Capsule,Treatment of Bacterial infections,Alkem Laboratories Ltd
AF Kit Tablet,Treatment of Syndromic treatment of vaginal discharge,Systopic Laboratories Pvt Ltd
Ascoril LS Junior Syrup,Treatment of Cough with mucus,Glenmark Pharmaceuticals Ltd
Asthalin 100mcg Inhaler,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Aptimust Syrup, Appetite stimulant,Mankind Pharma Ltd
AB Phylline Capsule,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Sun Pharmaceutical Industries Ltd
Azee 200mg Dry Syrup,Treatment of Bacterial infections,Cipla Ltd
Adaferin Gel, Acne,Galderma India Pvt Ltd
Amitone 10mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Intas Pharmaceuticals Ltd
Ambrodil Syrup,Treatment of Respiratory tract disorders associated with viscid mucus,Aristo Pharmaceuticals Pvt Ltd
AB-Flo-N Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Lupin Ltd
Ascoril LS Drops,Acute Sore throatTreatment of Cough with mucus,Glenmark Pharmaceuticals Ltd
Alex Cough Lozenges Lemon Ginger, Dry cough,Glenmark Pharmaceuticals Ltd
Atorva 40 Tablet, High cholesterolPrevention of Heart attack,Zydus Cadila
Aziderm 20% Cream,Treatment of Acne,Micro Labs Ltd
Ascoril D Junior Cough Syrup,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Acogut Tablet,Treatment of Functional dyspepsia,Lupin Ltd
Augmentin 1000 Duo Tablet,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Ano Metrogyl Cream,Treatment of Anal fissure,Lekar Pharma Ltd
Angispan - TR 2.5mg Capsule,Treatment of Angina (heart-related chest pain),USV Ltd
Apdrops Eye Drop,Treatment of Bacterial eye infections,Ajanta Pharma Ltd
Acivir 400 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Cipla Ltd
Acivir Cream, Herpes labialis,Cipla Ltd
Avil Injection,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Sanofi India Ltd
Azee 250 Tablet,Treatment of Bacterial infections,Cipla Ltd
Aldigesic P 100mg/325mg Tablet, Pain relief,Alkem Laboratories Ltd
Acitrom 2 Tablet,Treatment and prevention of Blood clots,Abbott
Alerid Syrup,Treatment of Allergic conditions,Cipla Ltd
Atorva Tablet, High cholesterolPrevention of Heart attack,Zydus Cadila
Azax 500 Tablet,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Aztor 10 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Alciflox D Eye/Ear Drops,Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation,Alkem Laboratories Ltd
Amifru 40 Tablet,Treatment of Edema,Torrent Pharmaceuticals Ltd
Aciloc 300 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cadila Pharmaceuticals Ltd
Augmentin 1.2gm Injection,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Asthakind Expectorant Sugar Free,Treatment of Cough with mucus,Mankind Pharma Ltd
Atorva 20 Tablet, High cholesterolPrevention of Heart attack,Zydus Cadila
AB Phylline SR 200 Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Sun Pharmaceutical Industries Ltd
Aricep-M  Forte Tablet, Alzheimer's disease,Eisai Pharmaceuticals India Pvt Ltd
Amaryl 1mg Tablet,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Add Tears Lubricant Eye Drop,Treatment of Dry eyes,Cipla Ltd
Aceclo-MR Tablet,Treatment of Muscular pain,Aristo Pharmaceuticals Pvt Ltd
Atarax Drops,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Dr Reddy's Laboratories Ltd
Ambrodil-LX Syrup,Treatment of Cough with mucus,Aristo Pharmaceuticals Pvt Ltd
Asthakind-LS Expectorant Cola Sugar Free,Treatment of Cough with mucus,Mankind Pharma Ltd
Acton-OR Tablet SR, Pain relief Fever,Apex Laboratories Pvt Ltd
Avamys Nasal Spray,Treatment of Sneezing and runny nose due to allergies,Glaxo SmithKline Pharmaceuticals Ltd
AB Phylline N Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Sun Pharmaceutical Industries Ltd
Acenac-P  Tablet, Pain relief,Medley Pharmaceuticals
Aldactone 50 Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,RPG Life Sciences Ltd
Alerid Tablet,Treatment of Allergic conditions,Cipla Ltd
Aerocort Inhaler, Asthma,Cipla Ltd
Acemiz-S Tablet, Pain relief,Lupin Ltd
Asthalin Respules,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Azeflo Nasal Spray,Treatment of Sneezing and runny nose due to allergies,Lupin Ltd
Ace Proxyvon Tablet, Pain relief,Dr Reddy's Laboratories Ltd
Antiflu 75mg Capsule,Treatment of Influenza (flu),Cipla Ltd
Augmentin 375 Tablet,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Admenta 5 Tablet, Alzheimer's disease,Sun Pharmaceutical Industries Ltd
Azmarda 50mg Tablet,Treatment of Heart failure,J B Chemicals and Pharmaceuticals Ltd
Alerid-D Tablet,Treatment of Sneezing and runny nose due to allergies,Cipla Ltd
Aldosmin 500mg Tablet, Varicose veins,Sun Pharmaceutical Industries Ltd
Allercet-DC Tablet,Treatment of Sneezing and runny nose due to allergies,Micro Labs Ltd
Amlip 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Cipla Ltd
Acitrom 1 Tablet,Treatment and prevention of Blood clots,Abbott
AF 400 Tablet,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Amlopres-AT Tablet,Treatment of Hypertension (high blood pressure),Cipla Ltd
Aztolet  10 Tablet, Heart attack prevention and high cholesterol,Sun Pharmaceutical Industries Ltd
Azikem 500mg Tablet,Treatment of Bacterial infections,Alkem Laboratories Ltd
Amlovas 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Macleods Pharmaceuticals Pvt Ltd
Acenac-MR Tablet,Treatment of Muscular pain,Medley Pharmaceuticals
AF 150 Tablet DT,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Atorlip-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Cipla Ltd
A-Ret 0.1% Gel,Treatment of Acne Acute promyelocytic leukaemia,A. Menarini India Pvt Ltd
Apdrops PD Eye Drop,Treatment of Bacterial infections,Ajanta Pharma Ltd
AB-Flo Capsule,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Lupin Ltd
Amantrel Tablet,Treatment of Parkinson's disease,Cipla Ltd
Azithral XL 200 Liquid,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Aquazide 12.5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Sun Pharmaceutical Industries Ltd
A-Ret 0.05% Gel,Treatment of Acne Acute promyelocytic leukaemia,A. Menarini India Pvt Ltd
Althrocin 250 Tablet,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Alkasol Oral Solution Sugar Free,Treatment of GoutTreatment of Kidney stone,Stadmed Pvt Ltd
Ajaduo 25mg/5mg Tablet,Treatment of Type 2 diabetes mellitus,Lupin Ltd
Aldosmin 1000mg Tablet, Varicose veins,Sun Pharmaceutical Industries Ltd
Allegra Nasal Spray,Treatment of Sneezing and runny nose due to allergies,Sanofi India Ltd
Advent Forte 457mg Syrup Tangy Orange,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Cipla Ltd
Andial 2mg Tablet, Diarrhea,Veritaz Healthcare Ltd
Alkof DX Syrup,Treatment of Dry cough,Alkem Laboratories Ltd
Anafortan Syrup,Treatment of Abdominal pain,Abbott
Amlodac 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Zydus Cadila
Acivir 800 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Cipla Ltd
Amaryl 2mg Tablet,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Alaspan AM Tablet, Cough,Bayer Pharmaceuticals Pvt Ltd
Anabel Liquid Gel,Treatment of Mouth ulcers,Group Pharmaceuticals Ltd
Air-M Tablet,Treatment of Sneezing and runny nose due to allergies,Systopic Laboratories Pvt Ltd
Aziderm 10% Cream,Treatment of Acne,Micro Labs Ltd
Ace-Proxyvon CR Tablet, Pain relief,Dr Reddy's Laboratories Ltd
Aten 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Zydus Cadila
Asthalin 4 Tablet,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Azithral Eye Ointment,Treatment of Bacterial eye infections,Alembic Pharmaceuticals Ltd
Aziwok 500 Tablet,Treatment of Bacterial infections,Dr Reddy's Laboratories Ltd
Ambrolite-S Expectorant, Cough,Tablets India Limited
AB-Flo SR Tablet,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),Lupin Ltd
Ambrodil-Plus RF Syrup, Common cold,Aristo Pharmaceuticals Pvt Ltd
Asomex 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Emcure Pharmaceuticals Ltd
Amlosafe 3D Tablet, Hypertension (high blood pressure),Aristo Pharmaceuticals Pvt Ltd
Alkof Syrup,Treatment of Cough with mucus,Alkem Laboratories Ltd
Angiplat 2.5 Capsule TR,Treatment of Angina (heart-related chest pain),Micro Labs Ltd
Aten 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,Zydus Cadila
Admenta 10 Tablet, Alzheimer's disease,Sun Pharmaceutical Industries Ltd
Aztor 40 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Alkof Junior Syrup,Treatment of Dry cough,Alkem Laboratories Ltd
Azithral 100 Liquid,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Azibact 500 Tablet,Treatment of Bacterial infections,Ipca Laboratories Ltd
Amrox-LS Syrup,Treatment of Cough with mucus,Leeford Healthcare Ltd
Abzorb Antifungal Soap,Treatment of Fungal skin infections,Sun Pharmaceutical Industries Ltd
Arip MT 5 Tablet, Schizophrenia Mania,Torrent Pharmaceuticals Ltd
Axogurd-SR Tablet,Treatment of Neuropathic pain,Alembic Pharmaceuticals Ltd
Alfusin Tablet PR,Treatment of Benign prostatic hyperplasia,Cipla Ltd
ATM 500 Tablet,Treatment of Bacterial infections,Indoco Remedies Ltd
Alerfix Total Tablet SR,Treatment of Respiratory tract disorders associated with viscid mucus,Eris Lifesciences Ltd
Advent 625 Tablet,Treatment of Bacterial infections,Cipla Ltd
Amlovas-AT Tablet,Treatment of Hypertension (high blood pressure),Macleods Pharmaceuticals Pvt Ltd
Aziderm 10% Gel,Treatment of Acne,Micro Labs Ltd
Avil 50mg Tablet,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Sanofi India Ltd
Alivher Tablet,Treatment of Erectile dysfunction,Akumentis Healthcare Ltd
Anafortan Injection, Abdominal cramp,Abbott
Aprezo 30mg Tablet, Plaque psoriasis,Glenmark Pharmaceuticals Ltd
Acnesol Gel,Treatment of Bacterial infections,Systopic Laboratories Pvt Ltd
Amlopres 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Cipla Ltd
A-Ret 0.025% Gel,Treatment of Acne Acute promyelocytic leukaemia,A. Menarini India Pvt Ltd
Actibile 300 Tablet,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Zydus Cadila
Alex Syrup Sugar Free,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Azee 100mg Dry Syrup Peppermint,Treatment of Bacterial infections,Cipla Ltd
Alex-L Cough Syrup Mango,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Amtas 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Intas Pharmaceuticals Ltd
Amoxyclav 375 Tablet,Treatment of Bacterial infections,Abbott
Arbitel-Trio 50 Tablet ER, Hypertension (high blood pressure),Micro Labs Ltd
Almox 250 Capsule,Treatment of Bacterial infections,Alkem Laboratories Ltd
Amlopres TL Tablet,Treatment of Hypertension (high blood pressure),Cipla Ltd
Asthakind-P Drops,Treatment of Cough with mucus,Mankind Pharma Ltd
Aztor 20 Tablet, High cholesterolPrevention of Heart attack,Sun Pharmaceutical Industries Ltd
Azulix 1 MF Tablet PR,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Aqualube Eye Drop,Treatment of Dry eyes,Ajanta Pharma Ltd
Ambrolite Syrup,Treatment of Respiratory tract disorders associated with viscid mucus,Tablets India Limited
Aztor Asp 75 Capsule,Treatment of Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Acuclav 625 Tablet,Treatment of Bacterial infections,Macleods Pharmaceuticals Pvt Ltd
Ascoril SF Expectorant,Treatment of Cough with mucus,Glenmark Pharmaceuticals Ltd
Acutret 20 Capsule,Treatment of Acne,Ipca Laboratories Ltd
Adalene Nanogel Gel,Treatment of Acne,Zydus Cadila
Anorelief Cream,Treatment of Anal fissure,Micro Labs Ltd
Atorfit CV 10 Capsule, Heart attack prevention and high cholesterol,Ajanta Pharma Ltd
Allercet Cold Tablet,Treatment of Common cold,Micro Labs Ltd
AD 100mg Capsule,Treatment of Diarrhea,Hetero Drugs Ltd
Actrapid HM 100IU/ml Penfill, Diabetes,Novo Nordisk India Pvt Ltd
Arpizol 5 Tablet, Schizophrenia Mania,Sun Pharmaceutical Industries Ltd
Alkacip Syrup 100ml for Kidney &amp; Gout Stone,Treatment of GoutTreatment of Kidney stone,Cipla Ltd
Azulix 2 MF Tablet PR,Treatment of Type 2 diabetes mellitus,Torrent Pharmaceuticals Ltd
Azilide 500 Tablet,Treatment of Bacterial infections,Micro Labs Ltd
Atorlip 10 Tablet, High cholesterolPrevention of Heart attack,Cipla Ltd
Augpen LB 625 Tablet, Bacterial infections,Zuventus Healthcare Ltd
Aceclo Sera 100mg/325mg/15mg Tablet, Pain relief,Aristo Pharmaceuticals Pvt Ltd
Amaryl MV 2mg Tablet SR,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Acivir 200 DT Tablet, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Cipla Ltd
Amlip AT Tablet,Treatment of Hypertension (high blood pressure),Cipla Ltd
Axcer  90mg Tablet, Prevention of heart attack and stroke,Sun Pharmaceutical Industries Ltd
Acitrom 3 Tablet,Treatment and prevention of Blood clots,Abbott
Avas 10 Tablet, High cholesterolPrevention of Heart attack,Micro Labs Ltd
Air 180 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Systopic Laboratories Pvt Ltd
Arcalion Tablet, Fatigue Alzheimer's disease,Serdia Pharmaceuticals India Pvt Ltd
Apigat 2.5 Tablet,Treatment and prevention of Blood clots,Natco Pharma Ltd
Aquasurge  Eye Drop,Treatment of Dry eyes,Ipca Laboratories Ltd
Aceclo Spas Tablet,Treatment of Abdominal pain,Aristo Pharmaceuticals Pvt Ltd
Apdrops KT 0.4 Eye Drops BAK Free,Treatment of Bacterial eye infections,Ajanta Pharma Ltd
Aciloc Injection,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cadila Pharmaceuticals Ltd
Arcolane 2% Scalp Solution, Fungal skin infections,Galderma India Pvt Ltd
Amnurite  10 Tablet SR, Neuropathic pain,Health N U Therapeutics Pvt Ltd
Augpen -DS Suspension,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Zuventus Healthcare Ltd
Asthalin Respirator Solution,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Cipla Ltd
Atchol-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Aristo Pharmaceuticals Pvt Ltd
Asthalin AX Syrup,Treatment of Cough with mucus,Cipla Ltd
Alensol-D Tablet, Osteoporosis,Medsol India Overseas Pvt Ltd
Atorva 80 Tablet, High cholesterolPrevention of Heart attack,Zydus Cadila
Artificial Tears BP Eye Drop, Dry eyes,Sunways India Pvt Ltd
Alciflox 500mg Tablet,Treatment of Bacterial infections,Alkem Laboratories Ltd
Amitop 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Tas Med India Pvt Ltd
Atonide Gel, Skin conditions with inflammation & itching,Curatio Healthcare India Pvt Ltd
Ambrodil-D Syrup,Treatment of Dry cough,Aristo Pharmaceuticals Pvt Ltd
Allercet Tablet,Treatment of Allergic conditions,Micro Labs Ltd
Apidra 100IU Cartridge, Diabetes,Sanofi India Ltd
Aquim PF Eye Drop,Treatment of Dry eyes,His Eyeness Ophthalmics Pvt Ltd
Andre Plus Eye Drops,Treatment of Allergic eye disease,Intas Pharmaceuticals Ltd
Acamprol Tablet, Alcohol addiction,Sun Pharmaceutical Industries Ltd
Amitryn 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,KC Laboratories
Acnesol A Nano Gel,Treatment of Acne,Systopic Laboratories Pvt Ltd
Acular LS Ophthalmic Solution, Post-operative eye pain and inflammation,Allergan India Pvt Ltd
Acupat Ophthalmic Solution,Treatment of Allergic conjunctivitis,Allergan India Pvt Ltd
Adilip 135 Tablet DR, High cholesterol,Intas Pharmaceuticals Ltd
Augpen 625 BID Tablet,Treatment of Bacterial infections,Zuventus Healthcare Ltd
Allercet-M Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Micro Labs Ltd
Arip MT 2 Tablet, Schizophrenia Mania,Torrent Pharmaceuticals Ltd
Aztolet  20 Tablet, Heart attack prevention and high cholesterol,Sun Pharmaceutical Industries Ltd
Acceclowoc-P Tablet, Pain relief,Wockhardt Ltd
Ascoril Plus Expectorant,Treatment of Cough,Glenmark Pharmaceuticals Ltd
Amaryl MV 1mg Tablet SR,Treatment of Type 2 diabetes mellitus,Sanofi India Ltd
Alfusin D Tablet ER,Treatment of Benign prostatic hyperplasia,Cipla Ltd
Altraz Tablet, Breast cancer,Alkem Laboratories Ltd
Acivir Cream, Herpes labialis,Cipla Ltd
Atropine 1% Eye Drop,Treatment of MyopiaTreatment of Uveitis,Pharmatak Opthalmics Pvt Ltd
Aquaviron Injection 1ml,Treatment of Male hypogonadism,Abbott
Acera-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Ipca Laboratories Ltd
Atormac CV10 Capsule, Heart attack prevention and high cholesterol,Macleods Pharmaceuticals Pvt Ltd
Alphadol 0.25mcg Capsule,Treatment of Vitamin D deficiency,Panacea Biotec Ltd
Ajaduo 10mg/5mg Tablet,Treatment of Type 2 diabetes mellitus,Lupin Ltd
Apdrops DM Eye Drop,Treatment of Bacterial eye infections,Ajanta Pharma Ltd
Arbitel-Trio 25 Tablet ER, Hypertension (high blood pressure),Micro Labs Ltd
Amicline Plus Tablet, Diarrhea Dysentery,Franco-Indian Pharmaceuticals Pvt Ltd
Amlokind-L Tablet, Hypertension (high blood pressure),Mankind Pharma Ltd
Amrolstar Nail Lacquer, Fungal nail infections,Oaknet Healthcare Pvt Ltd
Amnurite  5 mg/1500 mcg Tablet, Neuropathic pain,Health N U Therapeutics Pvt Ltd
Acuvert Tablet,Treatment of VertigoTreatment of NauseaTreatment of VomitingTreatment of MigraineTreatment of Short term anxiety,Abbott
Ambrodil Drop,Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus,Aristo Pharmaceuticals Pvt Ltd
Azmarda 100mg Tablet,Treatment of Heart failure,J B Chemicals and Pharmaceuticals Ltd
Alzil-M 5 Tablet, Alzheimer's disease,Intas Pharmaceuticals Ltd
Amicon 10 Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Icon Life Sciences
Asomex 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Emcure Pharmaceuticals Ltd
Althrocin Liquid,Treatment of PertussisTreatment of DiphtheriaTreatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Albucel 20% Infusion, Short term fluid replacement after trauma,Intas Pharmaceuticals Ltd
Apigat 5 Tablet,Treatment and prevention of Blood clots,Natco Pharma Ltd
Amlong 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Micro Labs Ltd
Anxiset 0.5 Tablet, Schizophrenia Depression Bipolar disorder,Obsurge Biotech Ltd
All 9 NVP Tablet, Nausea and vomiting in pregnancy,Akumentis Healthcare Ltd
Angiwell 2.6mg Tablet,Treatment of Angina (heart-related chest pain),Corona Remedies Pvt Ltd
Almefkem Spas 10mg/250mg Tablet,Treatment of Menstrual painTreatment of Abdominal cramp,Alkem Laboratories Ltd
Azax 250 Tablet,Treatment of Bacterial infections,Sun Pharmaceutical Industries Ltd
Amlong-A Tablet,Treatment of Hypertension (high blood pressure),Micro Labs Ltd
Aceclo Tablet, Pain relief,Aristo Pharmaceuticals Pvt Ltd
Acimol Forte 100mg/325mg/15mg Tablet, Pain relief,Leeford Healthcare Ltd
Acitrom 4 Tablet,Treatment and prevention of Blood clots,Abbott
Aprecap 125/80 Capsule, Nausea and vomiting due to chemotherapy,Glenmark Pharmaceuticals Ltd
Anasure 5% Solution,Treatment of Hair loss,Sun Pharmaceutical Industries Ltd
Adaple-C Gel,Treatment of Acne,Wallace Pharmaceuticals Pvt Ltd
Akilos-P Tablet, Pain relief,Unison Pharmaceuticals Pvt Ltd
Azopt Opthalmic Suspension, Glaucoma Ocular hypertension,Novartis India Ltd
Amrolstar Cream, Fungal nail infections,Oaknet Healthcare Pvt Ltd
Anosum Cream,Treatment of Anal fissure,Samarth Life Sciences Pvt Ltd
AF 200 Tablet,Treatment of Fungal infections,Systopic Laboratories Pvt Ltd
Amlong 10 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Micro Labs Ltd
Azee XL 200mg Dry Syrup Peppermint,Treatment of Bacterial infections,Cipla Ltd
Acenext P 100mg/325mg Tablet, Pain relief,Cadila Pharmaceuticals Ltd
Amlopin 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),USV Ltd
Amlogard 5mg Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Pfizer Ltd
Arpizol 10 Tablet, Schizophrenia Mania,Sun Pharmaceutical Industries Ltd
Azibact LR 100 Readymix,Treatment of Bacterial infections,Ipca Laboratories Ltd
